query_id,database,label,row_latency,col_latency,speedup_ratio,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
q_0002,Airline,0,80.0482526421547,122.91370779275894,0.6512556986493452,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
q_0000,Airline,1,40.580134093761444,0.42542964220046997,95.38624032840515,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,1,0,0,4,0,1,0,0,0
q_0001,Airline,0,12.808891385793686,44.07357946038246,0.29062516688274753,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
